Country,Clicks,Impressions,CTR,Position
British Virgin Islands,0,21,0%,16.43
Bhutan,0,19,0%,8.58
Turks & Caicos Islands,0,19,0%,14
Turkmenistan,0,18,0%,11.5
Fiji,0,18,0%,15.5
Aruba,0,18,0%,22.5
Sint Maarten,0,18,0%,30.17
Sierra Leone,0,16,0%,19.06
Liechtenstein,0,16,0%,32.56
Réunion,0,14,0%,22.29
Mali,0,14,0%,36.43
Mauritania,0,13,0%,14.92
Dominica,0,12,0%,16.33
French Polynesia,0,11,0%,13.09
Liberia,0,10,0%,6
Sudan,0,10,0%,7.4
Caribbean Netherlands,0,10,0%,11.9
Guam,0,9,0%,13.89
Western Sahara,0,9,0%,24.78
Guadeloupe,0,8,0%,11.12
North Korea,0,8,0%,15.38
Gambia,0,8,0%,22.25
Martinique,0,8,0%,27.38
Burundi,0,7,0%,23.29
San Marino,0,7,0%,34.86
Faroe Islands,0,6,0%,4.17
French Guiana,0,6,0%,12.83
Vanuatu,0,6,0%,14
Gibraltar,0,6,0%,18.5
Equatorial Guinea,0,5,0%,3.2
Chad,0,5,0%,7.6
Solomon Islands,0,5,0%,7.8
South Sudan,0,5,0%,25.4
Monaco,0,4,0%,6.25
Greenland,0,4,0%,15.25
Anguilla,0,4,0%,51
Tonga,0,3,0%,6.67
Tuvalu,0,3,0%,9
Djibouti,0,3,0%,9.33
Niger,0,3,0%,9.67
Nauru,0,3,0%,12.33
Timor-Leste,0,3,0%,39.67
Guinea-Bissau,0,3,0%,58
Guinea,0,2,0%,6
American Samoa,0,2,0%,6.5
Mayotte,0,2,0%,6.5
Comoros,0,2,0%,17
Samoa,0,2,0%,26.5
Antarctica,0,1,0%,1
Eritrea,0,1,0%,1
Marshall Islands,0,1,0%,1
Palau,0,1,0%,1
St. Martin,0,1,0%,4
Montserrat,0,1,0%,4
Niue,0,1,0%,4
Northern Mariana Islands,0,1,0%,9
New Caledonia,0,1,0%,9
Cook Islands,0,1,0%,10
St. Pierre & Miquelon,0,1,0%,22
Kiribati,0,1,0%,57
